Amount Teachers,Year Teachers,Level Teachers,Amount Students,Year Students,Level Students,Ratio
"450,134",2016-2017,Elementary,"12,843,685",2016-2017,Primary (ES),28.53302572
"462,299",2017-2018,Elementary,"12,214,038",2017-2018,Primary (ES),26.42021289
"484,406",2018-2019,Elementary,"11,952,930",2018-2019,Primary (ES),24.67543755
"497,200",2019-2020,Elementary,"10,793,595",2019-2020,Primary (ES),21.70875905
"514,099",2020-2021,Elementary,"11,699,272",2020-2021,Primary (ES),22.75684644
