Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Primary Education,2017,Asia,Japan,"417,071",6531731,15.66096
Primary Education,2017,Asia,Jordan,"52,598",1106611,21.03903
Primary Education,2017,Asia,Kazakhstan,"65,356",1356500,20.75555
Primary Education,2017,Asia,Kuwait,"31,081",275334,8.858595
Primary Education,2017,Asia,Kyrgyzstan,"20,110",501011,24.91353
Primary Education,2017,Asia,Lao People's Democratic Republic,"36,204",808705,22.33745
Primary Education,2017,Asia,Lebanon,"40,256",502505,12.48274
Primary Education,2017,Asia,Malaysia,"264,648",3084630,11.6556
Primary Education,2017,Asia,Maldives,"4,460",45326,10.16278
Primary Education,2017,Asia,Mongolia,"9,564",288337,30.14816
Primary Education,2017,Asia,Myanmar,"233,815",5388349,23.04535
Primary Education,2017,Asia,Nepal,"202,116",3970016,19.64226
Primary Education,2017,Asia,Oman,"37,916",384001,10.12768
Primary Education,2017,Asia,Pakistan,"484,267",21686451,44.78201
Primary Education,2017,Asia,Palestine,"19,298",477204,24.72816
Primary Education,2017,Asia,Philippines,"482,743",14039867,29.08352
Primary Education,2017,Asia,Qatar,"12,435",146418,11.77467
Primary Education,2017,Asia,Republic of Korea,"164,663",2681815,16.28669
Primary Education,2017,Asia,Saudi Arabia,"264,175",3197141,12.10236
Primary Education,2017,Asia,Singapore,"15,969",234653,14.69428
Primary Education,2017,Asia,Sri Lanka,"76,173",1746843,22.93257
Primary Education,2017,Asia,Tajikistan,"34,575",771040,22.30051
Primary Education,2017,Asia,Thailand,"293,265.00",4817883,16.42843
Primary Education,2017,Asia,Timor-Leste,"8,058",222830,27.65421
Primary Education,2017,Asia,Türkiye,"292,878",4972430,16.97782
Primary Education,2017,Asia,Uzbekistan,"113,072",2391489,21.15014
Primary Education,2017,Asia,Viet Nam,397098,7801560,19.64643
Primary Education,2017,Europe,Albania,"9,743.00",174836,17.94478
Primary Education,2017,Europe,Andorra,406,4263,10.5
Primary Education,2017,Europe,Austria,"33,438",334933.2,10.01653
Primary Education,2017,Europe,Belarus,"22,497",423001,18.80255
Primary Education,2017,Europe,Belgium,"72,269",814974,11.27695
Primary Education,2017,Europe,Bosnia and Herzegovina,"9,389",161483,17.19917
Primary Education,2017,Europe,Bulgaria,"17,393",264503,15.20744
Primary Education,2017,Europe,Cyprus,"4,640.00",55862,12.03922
Primary Education,2017,Europe,Estonia,7453,85617,11.48759
Primary Education,2017,Europe,Finland,"26,633",363990,13.66688
Primary Education,2017,Europe,Georgia,"33,398",301094,9.01533
Primary Education,2017,Europe,Germany,"240,170",2954775,12.30285
Primary Education,2017,Europe,Gibraltar,200.00,2834,14.17
Primary Education,2017,Europe,Greece,69214,649246,9.38027
Primary Education,2017,Europe,Italy,"252,806.00",2902379,11.48066
Primary Education,2017,Europe,Latvia,"10,532",121506,11.53684
Primary Education,2017,Europe,Liechtenstein,257.00,2005,7.801556
Primary Education,2017,Europe,Lithuania,"8,425",113881,13.51703
Primary Education,2017,Europe,Malta,"1,994",25796,12.93931
Primary Education,2017,Europe,Monaco,193,2018,10.45596
Primary Education,2017,Europe,Netherlands,"100,110",1181893,11.80592
Primary Education,2017,Europe,North Macedonia,"7,317",109121,14.91335
Primary Education,2017,Europe,Norway,"51,737",444638,8.594178
Primary Education,2017,Europe,Poland,"225,581",2296529,10.18051
Primary Education,2017,Europe,Portugal,"50,982",629804,12.35346
Primary Education,2017,Europe,Republic of Moldova,"7,880",139335,17.68211
Primary Education,2017,Europe,Romania,"48,009",928245,19.33481
Primary Education,2017,Europe,Russian Federation,"309,219.00",6573633,21.25883
Primary Education,2017,Europe,Serbia,18829,268952,14.28392
Primary Education,2017,Europe,Slovakia,"14,507",225427,15.53919
Primary Education,2017,Europe,Spain,"231,683",3042396,13.13172
Primary Education,2017,Europe,Sweden,70389,861086,12.23325
Primary Education,2017,Europe,Switzerland,"51,133",507686,9.928735
Primary Education,2017,Europe,Ukraine,"126,535",1644263,12.99453
Primary Education,2017,Europe,United Kingdom of Great Britain and Northern Ireland,"318,533",4820283,15.13275
Primary Education,2017,North America,Antigua and Barbuda,825,9946,12.05576
Primary Education,2017,North America,Barbados,"1,446",20384,14.09682
Primary Education,2017,North America,Belize,"2,630",51512,19.58631
Primary Education,2017,North America,British Virgin Islands,287,3334,11.61672
Primary Education,2017,North America,Costa Rica,"40,627",472421,11.62825
Primary Education,2017,North America,Cuba,"83,125",733770,8.827308
Primary Education,2017,North America,Dominican Republic,"66,255",1253342,18.91694
Primary Education,2017,North America,El Salvador,23987,678137,28.27102
Primary Education,2017,North America,Grenada,832,13464,16.18269
Primary Education,2017,North America,Guatemala,116396,2348863,20.17993
Primary Education,2017,North America,Honduras,43908,1123945,25.59773
Primary Education,2017,North America,Jamaica,11172,246972,22.10634
Primary Education,2017,North America,Mexico,"573,284.00",14182288,24.73868
Primary Education,2017,North America,Montserrat,30,452,15.06667
Primary Education,2017,North America,Panama,"19,072",418852,21.96162
Primary Education,2017,North America,Saint Lucia,"1,054",16054,15.2315
Primary Education,2017,North America,Saint Vincent and the Grenadines,905,13026,14.39337
Primary Education,2017,North America,United States of America,"1,769,451.00",25123677,14.19857
Primary Education,2017,Oceania,Cook Islands,117,1838,15.7094
Primary Education,2017,Oceania,Kiribati,655.00,16695,25.48855
Primary Education,2017,Oceania,Micronesia (Federated States of),642,13854,21.57944
Primary Education,2017,Oceania,New Zealand,"25,762",384251,14.91552
Primary Education,2017,Oceania,Solomon Islands,"4,205",108396,25.77788
Primary Education,2017,South America,Argentina,280094,4753843,16.97231
Primary Education,2017,South America,Bolivia (Plurinational State of),"76,851",1368580,17.80823
Primary Education,2017,South America,Brazil,796457,16106812,20.22308
Primary Education,2017,South America,Chile,85129.62,1514761,17.79358
Primary Education,2017,South America,Colombia,184384,4351705,23.60132
Primary Education,2017,South America,Ecuador,78815.91,1929416,24.48003
Primary Education,2017,South America,Peru,197603,3544359,17.93677
Primary Education,2017,South America,Suriname,5309,68612,12.92371
Primary Education,2017,South America,Uruguay,27616,304309,11.0193
