Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Primary Education,2017,Africa,Algeria,"176,809",4283207,24.22505
Primary Education,2017,Africa,Angola,"103,562",6246294,60.31454
Primary Education,2017,Africa,Benin,"51,677",2251555,43.56977
Primary Education,2017,Africa,Burkina Faso,"74,747",3040802,40.68126
Primary Education,2017,Africa,Burundi,"42,854",2126173,49.61434
Primary Education,2017,Africa,Cabo Verde,"3,016",63582,21.08156
Primary Education,2017,Africa,Cameroon,"97,984",4371381,44.61321
Primary Education,2017,Africa,Central African Republic,"11,334",1028839,90.77457
Primary Education,2017,Africa,Chad,"39,611",2060946,52.02964
Primary Education,2017,Africa,Comoros,"6,429",121517,18.90138
Primary Education,2017,Africa,Côte d'Ivoire,"88,910",3772136,42.42645
Primary Education,2017,Africa,Djibouti,"2,033",61846,30.42105
Primary Education,2017,Africa,Egypt,"511,478",12161376,23.77693
Primary Education,2017,Africa,Equatorial Guinea,"4,491",110684,24.64574
Primary Education,2017,Africa,Eritrea,"8,842",347009,39.24553
Primary Education,2017,Africa,Eswatini,"8,928",237451,26.59621
Primary Education,2017,Africa,Gambia,"8,528",329828,38.67589
Primary Education,2017,Africa,Ghana,"160,939",4393061,27.29644
Primary Education,2017,Africa,Guinea,"39,914",1929881,48.35098
Primary Education,2017,Africa,Lesotho,"11,167",367931,32.94806
Primary Education,2017,Africa,Liberia,"28,468",635478,22.32254
Primary Education,2017,Africa,Madagascar,"120,351",5004479,41.58236
Primary Education,2017,Africa,Mali,"66,418",2538502,38.22009
Primary Education,2017,Africa,Mauritania,"16,964",616647,36.35033
Primary Education,2017,Africa,Mauritius,"5,184",92989,17.93769
Primary Education,2017,Africa,Morocco,"150,198",4210676,28.03417
Primary Education,2017,Africa,Mozambique,"117,065",6138518,52.43683
Primary Education,2017,Africa,Namibia,"18,070",476360,26.36193
Primary Education,2017,Africa,Niger,"76,185",2768305,36.33661
Primary Education,2017,Africa,Nigeria,"480,112",24543722,51.12083
Primary Education,2017,Africa,Rwanda,"43,906",2540374,57.85938
Primary Education,2017,Africa,Sao Tome and Principe,"1,193",37172,31.15842
Primary Education,2017,Africa,Seychelles,644,9037,14.03261
Primary Education,2017,Africa,Sierra Leone,"37,703",1486939,39.43821
Primary Education,2017,Africa,Togo,"37,985",1524191,40.12613
Primary Education,2017,Africa,Tunisia,"70,630",1170470,16.57185
Primary Education,2017,Africa,Uganda,"207,238",8840589,42.65911
Primary Education,2017,Africa,United Republic of Tanzania,"197,563",9315656,47.15284
Primary Education,2017,Africa,Zambia,"78,099",3284841,42.05996
Primary Education,2017,Africa,Zimbabwe,"71,242",2676485,37.56892
Primary Education,2017,Asia,Afghanistan,"132,347",6350404,47.98298
Primary Education,2017,Asia,Azerbaijan,"39,293",607391,15.458
Primary Education,2017,Asia,Bahrain,"9,332",113470,12.15924
Primary Education,2017,Asia,Bangladesh,"574,001",17195385,29.95706
Primary Education,2017,Asia,Bhutan,"2,565",94184,36.71891
Primary Education,2017,Asia,Brunei Darussalam,"3,890",39610,10.18252
Primary Education,2017,Asia,Cambodia,"46,149",2022061,43.81592
Primary Education,2017,Asia,China,"6,045,682",1.00E+08,16.59383
Primary Education,2017,Asia,"China, Hong Kong Special Administrative Region","25,599",352469,13.76886
Primary Education,2017,Asia,"China, Macao Special Administrative Region","2,105",28438,13.50974
Primary Education,2017,Asia,India,"4,373,417",1.24E+08,28.30919
Primary Education,2017,Asia,Indonesia,"1,827,213",29351817,16.06371
Primary Education,2017,Asia,Iran (Islamic Republic of),"286,476",8171667,28.52479
