Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Upper Secondary Education,2019,Europe,Norway,26521,255759,9.643641
Upper Secondary Education,2019,Europe,Poland,138302,1266398,9.156758
Upper Secondary Education,2019,Europe,Republic of Moldova,6125,64721,10.56669
Upper Secondary Education,2019,Europe,Romania,55377,720206,13.00551
Upper Secondary Education,2019,Europe,San Marino,125,702,5.616
Upper Secondary Education,2019,Europe,Serbia,30940,254101,8.212702
Upper Secondary Education,2019,Europe,Slovakia,16464,182797,11.10283
Upper Secondary Education,2019,Europe,Slovenia,6087,90228,14.82307
Upper Secondary Education,2019,Europe,Spain,159062,1743458,10.96087
Upper Secondary Education,2019,Europe,Sweden,38230,541734,14.17039
Upper Secondary Education,2019,North America,Bahamas,1283,12537,9.771629
Upper Secondary Education,2019,North America,Barbados,547,8098,14.80439
Upper Secondary Education,2019,North America,Belize,641,9855,15.37441
Upper Secondary Education,2019,North America,Canada,144009,1407460,9.773417
Upper Secondary Education,2019,North America,Cayman Islands,157.5,1526,9.688889
Upper Secondary Education,2019,North America,Costa Rica,15560,205948,13.23573
Upper Secondary Education,2019,North America,Cuba,43373,420871,9.703525
Upper Secondary Education,2019,North America,Guatemala,53101,416177,7.837461
Upper Secondary Education,2019,North America,Honduras,23467,238411,10.15942
Upper Secondary Education,2019,North America,Mexico,418893,5608220,13.38819
Upper Secondary Education,2019,North America,Saint Lucia,432,4704,10.88889
Upper Secondary Education,2019,North America,United States of America,836244,12230286,14.62526
Upper Secondary Education,2019,Oceania,Nauru,12,402,33.5
Upper Secondary Education,2019,Oceania,New Zealand,18672.26,269607.1,14.43891
Upper Secondary Education,2019,Oceania,Tokelau,13,31,2.384615
Upper Secondary Education,2019,South America,Brazil,612396,9077330,14.82265
Upper Secondary Education,2019,South America,Chile,58745.69,1035368,17.62458
Upper Secondary Education,2019,South America,Colombia,57080,1389579,24.34441
Upper Secondary Education,2019,South America,Ecuador,49288.78,889048,18.03753
