Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Upper Secondary Education,2020,Europe,Denmark,25346,286916,11.31997
Upper Secondary Education,2020,Europe,Finland,18887,327235,17.32594
Upper Secondary Education,2020,Europe,Georgia,25294,135544,5.358741
Upper Secondary Education,2020,Europe,Germany,174954.1,2398670,13.71028
Upper Secondary Education,2020,Europe,Greece,37639,344001,9.139483
Upper Secondary Education,2020,Europe,Hungary,39162,407753,10.41196
Upper Secondary Education,2020,Europe,Latvia,6032,59313,9.833057
Upper Secondary Education,2020,Europe,Liechtenstein,60,1696,28.26667
Upper Secondary Education,2020,Europe,Lithuania,7107,59681,8.397495
Upper Secondary Education,2020,Europe,Malta,2571.3,17665.39,6.870218
Upper Secondary Education,2020,Europe,Monaco,264,1539,5.829545
Upper Secondary Education,2020,Europe,Montenegro,2043,27594,13.50661
Upper Secondary Education,2020,Europe,Netherlands,57937.69,839691,14.493
Upper Secondary Education,2020,Europe,North Macedonia,7464,70402,9.432208
Upper Secondary Education,2020,Europe,Norway,26755,254884,9.526593
Upper Secondary Education,2020,Europe,Poland,136451,1614772,11.83408
Upper Secondary Education,2020,Europe,Republic of Moldova,5893,64539,10.95181
Upper Secondary Education,2020,Europe,Romania,54963,719050,13.08244
Upper Secondary Education,2020,Europe,San Marino,129,721,5.589147
Upper Secondary Education,2020,Europe,Serbia,31025,251974,8.121644
Upper Secondary Education,2020,Europe,Slovakia,16244,179587,11.05559
Upper Secondary Education,2020,Europe,Slovenia,6292,89014,14.14717
Upper Secondary Education,2020,Europe,Spain,162016,1770354,10.92703
Upper Secondary Education,2020,Europe,Sweden,38341,549403.7,14.32941
Upper Secondary Education,2020,North America,Barbados,592,8161,13.78547
Upper Secondary Education,2020,North America,Belize,652,9948,15.25767
Upper Secondary Education,2020,North America,Canada,146004,1400028,9.58897
Upper Secondary Education,2020,North America,Cayman Islands,169,1584,9.372781
Upper Secondary Education,2020,North America,Costa Rica,16841,213179,12.65833
Upper Secondary Education,2020,North America,Cuba,45042,416308,9.242662
Upper Secondary Education,2020,North America,Mexico,412353,5544608,13.44627
Upper Secondary Education,2020,North America,Saint Lucia,434,4602,10.60369
Upper Secondary Education,2020,North America,United States of America,844815.8,12248258,14.49814
Upper Secondary Education,2020,Oceania,Marshall Islands,369,3074,8.330623
Upper Secondary Education,2020,Oceania,New Zealand,18192.33,257465.2,14.1524
Upper Secondary Education,2020,Oceania,Niue,21,130,6.190476
Upper Secondary Education,2020,Oceania,Tokelau,13,39,3
Upper Secondary Education,2020,South America,Brazil,605297,9059953,14.96778
Upper Secondary Education,2020,South America,Chile,58016.53,1011573,17.43595
Upper Secondary Education,2020,South America,Colombia,63202,1390305,21.9978
Upper Secondary Education,2020,South America,Ecuador,48723.96,893100,18.32979
Upper Secondary Education,2020,South America,Suriname,1900,19102,10.05368
