Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Upper Secondary Education,2020,Africa,Burkina Faso,14876,311422,20.93453
Upper Secondary Education,2020,Africa,Burundi,14049,349649,24.88782
Upper Secondary Education,2020,Africa,Cabo Verde,1665,22940,13.77778
Upper Secondary Education,2020,Africa,Djibouti,1537,23159,15.06766
Upper Secondary Education,2020,Africa,Egypt,286027,4181781,14.62023
Upper Secondary Education,2020,Africa,Ghana,60728,1266343,20.8527
Upper Secondary Education,2020,Africa,Liberia,6307,106194,16.83748
Upper Secondary Education,2020,Africa,Mali,21487,314452,14.63452
Upper Secondary Education,2020,Africa,Morocco,69621,1120501,16.0943
Upper Secondary Education,2020,Africa,Nigeria,452001,5731144,12.67949
Upper Secondary Education,2020,Africa,Senegal,31812,368826,11.59393
Upper Secondary Education,2020,Africa,South Africa,109008,2947954,27.04346
Upper Secondary Education,2020,Asia,Armenia,12808,83139,6.491177
Upper Secondary Education,2020,Asia,Azerbaijan,31154,292699,9.39523
Upper Secondary Education,2020,Asia,Bangladesh,286285,7849556,27.41868
Upper Secondary Education,2020,Asia,Brunei Darussalam,4898,28448,5.808085
Upper Secondary Education,2020,Asia,China,2770298,39959877,14.4244
Upper Secondary Education,2020,Asia,"China, Macao Special Administrative Region",1388,12299,8.860951
Upper Secondary Education,2020,Asia,India,3078485,69080414,22.43974
Upper Secondary Education,2020,Asia,Indonesia,612141,12450655,20.33952
Upper Secondary Education,2020,Asia,Japan,354404,3507562,9.897072
Upper Secondary Education,2020,Asia,Jordan,24745,236888,9.573166
Upper Secondary Education,2020,Asia,Lao People's Democratic Republic,13213,210184,15.90736
Upper Secondary Education,2020,Asia,Nepal,63399,1815077,28.62943
Upper Secondary Education,2020,Asia,Palestine,16724,247526,14.80065
Upper Secondary Education,2020,Asia,Philippines,118079,3195067,27.05872
Upper Secondary Education,2020,Asia,Qatar,5644,57714,10.22573
Upper Secondary Education,2020,Asia,Republic of Korea,124453,1346561,10.81984
Upper Secondary Education,2020,Asia,Saudi Arabia,124236,1357437,10.92628
Upper Secondary Education,2020,Asia,Thailand,115317,2362228,20.48465
Upper Secondary Education,2020,Asia,Timor-Leste,2711,72778,26.84544
Upper Secondary Education,2020,Asia,Türkiye,380631,5630652,14.79294
Upper Secondary Education,2020,Asia,United Arab Emirates,42659,318449,7.46499
Upper Secondary Education,2020,Asia,Uzbekistan,298876,1191143,3.985409
Upper Secondary Education,2020,Europe,Albania,8832,109533,12.40183
Upper Secondary Education,2020,Europe,Austria,30081.55,351565.1,11.68707
Upper Secondary Education,2020,Europe,Belarus,22001,188814,8.582064
Upper Secondary Education,2020,Europe,Belgium,83552,734308,8.788635
Upper Secondary Education,2020,Europe,Bosnia and Herzegovina,12716,112796,8.870399
Upper Secondary Education,2020,Europe,Bulgaria,22187,274024,12.35066
Upper Secondary Education,2020,Europe,Croatia,28016,148181,5.289156
Upper Secondary Education,2020,Europe,Cyprus,3742,27655,7.390433
