Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Upper Secondary Education,2021,Europe,Belarus,22646,190960,8.432394
Upper Secondary Education,2021,Europe,Bosnia and Herzegovina,12735,110404,8.669336
Upper Secondary Education,2021,Europe,Bulgaria,22922,277674,12.11386
Upper Secondary Education,2021,Europe,Croatia,27977,149066,5.328162
Upper Secondary Education,2021,Europe,Cyprus,3910,28024,7.167263
Upper Secondary Education,2021,Europe,Denmark,24996,295772,11.83277
Upper Secondary Education,2021,Europe,Finland,19245,329998,17.14721
Upper Secondary Education,2021,Europe,Germany,176998.7,2383823,13.46803
Upper Secondary Education,2021,Europe,Greece,38484,348974,9.068028
Upper Secondary Education,2021,Europe,Hungary,43833,393322,8.973194
Upper Secondary Education,2021,Europe,Latvia,5770,60211,10.43518
Upper Secondary Education,2021,Europe,Liechtenstein,60,1654,27.56667
Upper Secondary Education,2021,Europe,Lithuania,6950,60218,8.66446
Upper Secondary Education,2021,Europe,Luxembourg,3366.672,26257,7.799098
Upper Secondary Education,2021,Europe,Malta,2567.568,17727.5,6.904393
Upper Secondary Education,2021,Europe,Monaco,247,1597,6.465587
Upper Secondary Education,2021,Europe,Montenegro,2084,26955,12.93426
Upper Secondary Education,2021,Europe,Netherlands,58233,838840,14.40489
Upper Secondary Education,2021,Europe,North Macedonia,7262,72228,9.94602
Upper Secondary Education,2021,Europe,Norway,26797,256208,9.56107
Upper Secondary Education,2021,Europe,Poland,139756,1609836,11.5189
Upper Secondary Education,2021,Europe,Republic of Moldova,5826,67182,11.53141
Upper Secondary Education,2021,Europe,Romania,55135,730346,13.2465
Upper Secondary Education,2021,Europe,San Marino,118,684,5.79661
Upper Secondary Education,2021,Europe,Serbia,31024,250925,8.088093
Upper Secondary Education,2021,Europe,Slovakia,16331,181128,11.09105
Upper Secondary Education,2021,Europe,Slovenia,6336,87705,13.84233
Upper Secondary Education,2021,Europe,Spain,168518,1883307,11.1757
Upper Secondary Education,2021,Europe,Sweden,38505,579086.4,15.03925
Upper Secondary Education,2021,North America,Bahamas,1200,12082,10.06833
Upper Secondary Education,2021,North America,Barbados,608,8153,13.40954
Upper Secondary Education,2021,North America,Belize,681,10578,15.53304
Upper Secondary Education,2021,North America,Canada,148002,1387155,9.372542
Upper Secondary Education,2021,North America,Cayman Islands,167.64,1688,10.0692
Upper Secondary Education,2021,North America,Costa Rica,16993.38,236455,13.91454
Upper Secondary Education,2021,North America,Cuba,46876,396007,8.447969
Upper Secondary Education,2021,North America,Dominican Republic,50148,379914,7.575855
Upper Secondary Education,2021,North America,Guatemala,52091,383205,7.356453
Upper Secondary Education,2021,North America,Honduras,23826,217075,9.110845
Upper Secondary Education,2021,North America,Mexico,408267,5353499,13.11274
Upper Secondary Education,2021,North America,Saint Lucia,1056,4285,4.057765
Upper Secondary Education,2021,North America,United States of America,836658.9,12448549,14.87888
Upper Secondary Education,2021,Oceania,Marshall Islands,226.8667,3158,13.92007
Upper Secondary Education,2021,Oceania,New Zealand,18579.87,262649.1,14.13622
Upper Secondary Education,2021,Oceania,Palau,90,910,10.11111
Upper Secondary Education,2021,Oceania,Tokelau,13,57,4.384615
Upper Secondary Education,2021,South America,Brazil,616062,9272232,15.05081
Upper Secondary Education,2021,South America,Chile,59267.83,1051097,17.7347
Upper Secondary Education,2021,South America,Colombia,63847,1440832,22.56695
Upper Secondary Education,2021,South America,Ecuador,48822.85,909105,18.62048
Upper Secondary Education,2021,South America,Suriname,969,13621,14.05676
