Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Upper Secondary Education,2021,Africa,Botswana,4943,54845,11.09549
Upper Secondary Education,2021,Africa,Burkina Faso,16359,328789,20.09836
Upper Secondary Education,2021,Africa,Cabo Verde,1486,21917,14.74899
Upper Secondary Education,2021,Africa,Djibouti,1640,22392,13.65366
Upper Secondary Education,2021,Africa,Egypt,274190,4353977,15.87942
Upper Secondary Education,2021,Africa,Gambia,4006,250378,62.50075
Upper Secondary Education,2021,Africa,Ghana,64438,1344261,20.86131
Upper Secondary Education,2021,Africa,Morocco,69436,1224501,17.63496
Upper Secondary Education,2021,Africa,Nigeria,453786,6046834,13.3253
Upper Secondary Education,2021,Africa,Rwanda,16853,261215,15.49961
Upper Secondary Education,2021,Africa,Senegal,27614,383112,13.87383
Upper Secondary Education,2021,Africa,Togo,11117,221994,19.96888
Upper Secondary Education,2021,Asia,Armenia,12923,88108,6.817922
Upper Secondary Education,2021,Asia,Azerbaijan,28825,285823,9.915802
Upper Secondary Education,2021,Asia,Bangladesh,330821,8169545,24.69476
Upper Secondary Education,2021,Asia,Bhutan,5860,25335,4.323379
Upper Secondary Education,2021,Asia,Cambodia,89870,392123,4.363225
Upper Secondary Education,2021,Asia,China,2901312,41641967,14.35281
Upper Secondary Education,2021,Asia,"China, Macao Special Administrative Region",1415,12643,8.934982
Upper Secondary Education,2021,Asia,India,3140509,72505354,23.08713
Upper Secondary Education,2021,Asia,Indonesia,647664,12815393,19.7871
Upper Secondary Education,2021,Asia,Japan,351090,3437814,9.791831
Upper Secondary Education,2021,Asia,Jordan,22519,260985,11.58955
Upper Secondary Education,2021,Asia,Lao People's Democratic Republic,12870,197644,15.35695
Upper Secondary Education,2021,Asia,Nepal,63399,1776955,28.02812
Upper Secondary Education,2021,Asia,Pakistan,955357,7063894,7.393984
Upper Secondary Education,2021,Asia,Palestine,16600,260262,15.67843
Upper Secondary Education,2021,Asia,Philippines,120800,3235106,26.78068
Upper Secondary Education,2021,Asia,Qatar,5327,61323,11.51173
Upper Secondary Education,2021,Asia,Republic of Korea,123401,1309015,10.60782
Upper Secondary Education,2021,Asia,Saudi Arabia,120205,1388325,11.54964
Upper Secondary Education,2021,Asia,Sri Lanka,78042,1210622,15.51244
Upper Secondary Education,2021,Asia,Thailand,103823,2383135,22.95383
Upper Secondary Education,2021,Asia,Türkiye,382109,6318602,16.53612
Upper Secondary Education,2021,Asia,Uzbekistan,298010,1006583,3.377682
Upper Secondary Education,2021,Europe,Albania,8584,107989,12.58027
Upper Secondary Education,2021,Europe,Austria,29780.98,354478.8,11.90286
