Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Primary Education,2018,North America,Saint Lucia,1077,15874,14.73909
Primary Education,2018,North America,Saint Vincent and the Grenadines,917,13198,14.39258
Primary Education,2018,North America,Turks and Caicos Islands,208,3680,17.69231
Primary Education,2018,North America,United States of America,1752939,24957956,14.23778
Primary Education,2018,Oceania,Cook Islands,122,1893,15.51639
Primary Education,2018,Oceania,Micronesia (Federated States of),595,14086,23.67395
Primary Education,2018,Oceania,New Zealand,26126.47,388279,14.86152
Primary Education,2018,Oceania,Solomon Islands,4149,105428,25.41046
Primary Education,2018,Oceania,Tonga,781,17246,22.08195
Primary Education,2018,Oceania,Tuvalu,85,1324,15.57647
Primary Education,2018,South America,Argentina,287067,4776452,16.63881
Primary Education,2018,South America,Bolivia (Plurinational State of),76914,1379099,17.9304
Primary Education,2018,South America,Brazil,798957,15951913,19.96592
Primary Education,2018,South America,Chile,88050.93,1540085,17.49084
Primary Education,2018,South America,Ecuador,79640.93,1932261,24.26216
Primary Education,2018,South America,Guyana,3979,81186,20.40362
Primary Education,2018,South America,Peru,206638,3592865,17.38724
Primary Education,2018,South America,Suriname,5054,67690,13.39335
Primary Education,2018,South America,Uruguay,27762,296791,10.69055
